experiment,fold,model,rank,feature,importance,importance_share
baseline_current,D,Revenue,12,order_count_lag_7,1405.0,0.07205128205128206
baseline_current,D,COGS,1,COGS_seasonal_base,2421.0,0.12415384615384616
baseline_current,D,COGS,2,COGS_lag_1,1867.0,0.09574358974358975
baseline_current,D,COGS,3,COGS_lag_365,1742.0,0.08933333333333333
baseline_current,D,COGS,4,time_index,1709.0,0.08764102564102565
baseline_current,D,COGS,5,COGS_lag_90,1706.0,0.08748717948717949
baseline_current,D,COGS,6,COGS_lag_730,1544.0,0.07917948717948718
baseline_current,D,COGS,7,COGS_lag_364,1484.0,0.07610256410256411
baseline_current,D,COGS,8,COGS_lag_366,1482.0,0.076
baseline_current,D,COGS,9,COGS_lag_30,1455.0,0.07461538461538461
baseline_current,D,COGS,10,COGS_rolling_std_7,1445.0,0.0741025641025641
baseline_current,D,COGS,11,COGS_lag_7,1430.0,0.07333333333333333
baseline_current,D,COGS,12,COGS_lag_14,1215.0,0.06230769230769231
baseline_current,D,order_count,1,order_count_seasonal_base,2004.0,0.10276923076923077
baseline_current,D,order_count,2,year_cos_3,1890.0,0.09692307692307692
baseline_current,D,order_count,3,order_count_lag_1,1723.0,0.08835897435897436
baseline_current,D,order_count,4,order_count_lag_730,1715.0,0.08794871794871795
baseline_current,D,order_count,5,order_count_lag_90,1673.0,0.08579487179487179
baseline_current,D,order_count,6,order_count_lag_7,1644.0,0.0843076923076923
baseline_current,D,order_count,7,order_count_lag_366,1614.0,0.08276923076923078
baseline_current,D,order_count,8,order_count_lag_30,1508.0,0.07733333333333334
baseline_current,D,order_count,9,order_count_lag_364,1462.0,0.07497435897435897
baseline_current,D,order_count,10,order_count_rolling_std_7,1456.0,0.07466666666666667
baseline_current,D,order_count,11,order_count_lag_365,1449.0,0.07430769230769231
baseline_current,D,order_count,12,order_count_lag_14,1362.0,0.06984615384615385
baseline_current,D,AOV,1,AOV_seasonal_base,2050.0,0.10512820512820513
baseline_current,D,AOV,2,AOV_rolling_std_7,1758.0,0.09015384615384615
baseline_current,D,AOV,3,AOV_lag_30,1725.0,0.08846153846153847
baseline_current,D,AOV,4,AOV_lag_730,1631.0,0.08364102564102564
baseline_current,D,AOV,5,AOV_lag_90,1619.0,0.08302564102564103
baseline_current,D,AOV,6,AOV_lag_14,1600.0,0.08205128205128205
baseline_current,D,AOV,7,AOV_lag_366,1579.0,0.08097435897435898
baseline_current,D,AOV,8,AOV_lag_364,1568.0,0.08041025641025641
baseline_current,D,AOV,9,AOV_lag_7,1539.0,0.07892307692307693
baseline_current,D,AOV,10,AOV_lag_1,1508.0,0.07733333333333334
baseline_current,D,AOV,11,AOV_lag_365,1492.0,0.07651282051282052
baseline_current,D,AOV,12,AOV_rolling_mean_7,1431.0,0.07338461538461538
baseline_current,D,cogs_ratio,1,cogs_ratio_seasonal_base,2476.0,0.12866347952608606
baseline_current,D,cogs_ratio,2,cogs_ratio_lag_1,1998.0,0.10382456869673665
baseline_current,D,cogs_ratio,3,cogs_ratio_rolling_mean_7,1742.0,0.09052172105591354
baseline_current,D,cogs_ratio,4,cogs_ratio_lag_730,1657.0,0.08610475992517148
baseline_current,D,cogs_ratio,5,time_index,1606.0,0.08345458324672625
baseline_current,D,cogs_ratio,6,cogs_ratio_rolling_std_7,1605.0,0.08340261899812929
baseline_current,D,cogs_ratio,7,cogs_ratio_lag_30,1588.0,0.08251922677198088
baseline_current,D,cogs_ratio,8,cogs_ratio_lag_90,1480.0,0.07690708792350863
baseline_current,D,cogs_ratio,9,cogs_ratio_lag_365,1394.0,0.07243816254416961
baseline_current,D,cogs_ratio,10,cogs_ratio_lag_364,1304.0,0.06776138017044274
baseline_current,D,cogs_ratio,11,cogs_ratio_lag_366,1234.0,0.06412388276865516
baseline_current,D,cogs_ratio,12,cogs_ratio_yoy_lag_mean,1160.0,0.06027852837247973
