strategy,fold,MAE,RMSE,R2,bias,pred_actual_mean_ratio,scale,year1_scale,year2_scale,window,fold_multiplier,w
ensemble_scale,C,1011692.1954346435,1337221.9798673927,0.4254459923331325,-752332.1595653563,0.7635779765773413,0.75,,,,,0.1
ensemble_scale,D,1144502.8226047943,1435129.3648719434,0.2648603761779217,-1085617.5517047944,0.6612517186276943,0.75,,,,,0.1
ensemble_scale,C,981448.4890206124,1300517.8931790157,0.4565538592041646,-671337.9752675045,0.7890305757965859,0.775,,,,,0.1
ensemble_scale,D,1087560.9178215752,1376152.62097049,0.3240400996243423,-1014978.4261049998,0.6832934425819508,0.775,,,,,0.1
ensemble_scale,C,956790.0541360145,1270003.5113148696,0.48175670874517473,-590343.7909696525,0.8144831750158308,0.8,,,,,0.1
ensemble_scale,D,1032285.7022147942,1319462.8753977683,0.37858450131656207,-944339.3005052054,0.7053351665362071,0.8,,,,,0.1
ensemble_scale,C,938360.2745880714,1246133.6237580653,0.5010545409561626,-509349.6066718008,0.8399357742350755,0.825,,,,,0.1
ensemble_scale,D,978837.7237793836,1265367.5450100421,0.42849358125458037,-873700.1749054112,0.7273768904904636,0.825,,,,,0.1
ensemble_scale,C,925384.5244679159,1229295.350598754,0.5144473558371285,-428355.42237394885,0.8653883734543201,0.85,,,,,0.1
ensemble_scale,D,930347.0520390413,1214213.4365256096,0.4737673394383979,-803061.0493056165,0.74941861444472,0.85,,,,,0.1
ensemble_scale,C,918776.0601199724,1219779.9272745952,0.5219351533880721,-347361.2380760968,0.8908409726735649,0.875,,,,,0.1
ensemble_scale,D,885193.795206507,1166387.5925166197,0.5144057758680143,-732421.923705822,0.7714603383989767,0.875,,,,,0.1
ensemble_scale,C,916637.6663478977,1217759.0255035341,0.5235179336089937,-266367.0537782449,0.9162935718928096,0.9,,,,,0.1
ensemble_scale,D,843579.5945032877,1122315.5810986934,0.5504088905434297,-661782.7981060273,0.7935020623532331,0.9,,,,,0.1
ensemble_scale,C,919588.5251752742,1223269.789802566,0.5191956964998932,-185372.8694803928,0.9417461711120544,0.925,,,,,0.1
ensemble_scale,D,805381.8509791095,1082456.0093786146,0.5817766834646438,-591143.6725062326,0.8155437863074896,0.925,,,,,0.1
