strategy,MAE,RMSE,R2,bias,pred_actual_mean_ratio
ensemble_scaled_best,704110.313423831,961930.0735279729,0.6868348033764814,-192106.18408463837,0.9398606561594811
scaled_best,704110.313423831,961930.0735279729,0.6868348033764814,-192106.18408463837,0.9398606561594811
horizon_scaled_best,711420.8334105769,972044.5413540609,0.6800160609568116,-217632.64204670422,0.9318389110227432
current,723374.4992676869,984699.9950649526,0.6720087252961856,-335028.4850377401,0.8951053868185536
recent_level_best,788507.1212512334,1070982.8795834747,0.6112927688844146,239348.4314182945,1.0747591013189899
